Screen index,Type of item,Question,Answer options,Answer
3,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to protect <b1>your location information</b1>:<hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-drei.png'>
4,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to <b1>protect your location information</b1>s: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-drei.png'>
5,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to <b1>protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-drei.png'>
6,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to <b1>protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-eins.png'>
7,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-eins.png'>
8,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to <b1>protect your location information:</b1> <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-eins.png'>
9,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Google</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-drei.png'>
11,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Google:</b1>  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-eins.png'>
12,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Apple</b1>:  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-drei.png'>
13,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for  <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to  <b1>Apple </b1>:  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-drei.png'>
